회사,직무,자소서
중앙일보(주),그래픽디자인·CG,"
""영상 디자인 직무에 대한 열정"" 평소 방송, 유튜브, 인스타그램 등 다양한 미디어 매체를 통해 영상 콘텐츠를 접하며, 영상 디자인 분야에 흥미를 느끼게 되었습니다. 학부 시절, 높은 디자인 역량을 갖추기 위해 일러스트레이션, 모션 디자인 스튜디오, 3D 그래픽스 등 다양한 그래픽 및 영상 분야의 수업을 이수하였습니다. 저는 일러스트레이터, 포토샵, 애프터 이펙트와 Cinema 4D 등 다양한 그래픽 프로그램의 사용이 가능하며, 중앙일보의 영상 편집 및 그래픽 디자인 직무가 제가 추구하는 방향과 맞는다고 생각하였습니다. 중앙일보에서 직무를 수행하며, 영상 디자이너로서 성장하고 싶습니다. 

""모션 그래픽 디자인 실무 경력을 통한 높은 직무 역량"" 포스트 프로덕션의 아트팀 인턴으로 근무하며, 광고 영상의 후반 2D 모션그래픽 및 자막 디자인 업무를 담당하였습니다. 애프터 이펙트를 사용하여 영상에 모션 그래픽 요소를 추가하여 완성된 영상으로 제작하였습니다. 또한, 포토샵과 일러스트레이터를 사용하여 영상의 그래픽 소스를 제작하기도 하였습니다. 타이포그래피에 대한 이해를 바탕으로, 가독성이 좋은 폰트를 사용하고 색상을 통일함으로써 높은 완성도의 영상을 제작하기 위해 노력하였습니다. 저는 이러한 모션 그래픽 디자인 실무 경력을 통해 높은 직무 역량을 가지고 있다고 생각합니다. 
"
(주)슈피겐코리아,그래픽디자인·CG,"
""3D 그래픽 직무에 대한 열정"" 평소 유튜브와 인스타그램 등 다양한 미디어 매체를 통해 그래픽 콘텐츠를 접하며, 3D 그래픽 분야에 흥미를 느끼게 되었습니다. 학부 시절, 3D 모션 그래픽 수업을 통해 Cinema 4D 외에도 일러스트레이터, 포토샵, 애프터이펙트 등 다양한 그래픽 프로그램의 사용이 가능하며, 슈피겐코리아의 모델링 직무가 제가 추구하는 방향성과 맞는다고 생각하였습니다. 저는 3D 영상 전시 경험과 직무 관련 인턴 등의 다양한 사회 경험이 있으며, 이러한 경력을 통해 직무를 수행할 때에도 역량을 발휘할 것이라고 생각합니다.  ""'일상'의 소재를 '그래픽'으로 표현하다"" 표현의 영역이 넓고 자유로운 3D 그래픽 이미지를 통해, 일상의 소재를 새롭게 표현하고 싶습니다. 직무를 수행하며, 창의적이고 개성 있는 3D 디자인 콘텐츠를 제작하고 싶습니다. 저는 평소 일상에 대한 애정을 바탕으로, 일상의 사물을 관찰하는 습관을 지니고 있습니다. 아름다움은 거창한 것이 아닌, 주변 일상적인 소재에 항상 존재한다고 생각합니다. 사물에 대한 관찰력과 형태력을 바탕으로, 높은 완성도의 3D 그래픽 결과물을 제작하여 성과 창출에 기여하고 싶습니다. 

""연구하고 발전하여 결과로 증명하다"" 저는 스스로 작업에 몰두하고 집중하여 성과를 내는 능력이 있다고 생각합니다. 학부 전공 수업 중 '3D그래픽스'라는 수업을 수강하였는데, Cinema 4D 프로그램을 배우는 수업이었습니다. 처음 배우는 프로그램이었기 때문에 학기 초에 프로그램을 익히는 데에 어려움이 있었습니다. 하지만 수업이 진행되면서 스스로 부족하다고 생각되는 부분에 대해서는 관련 서적과 유튜브 등을 통해 공부하며 과제를 진행하였고, 이러한 노력의 결과로 최종 성적에서 높은 성과를 거둘 수 있었습니다. 저는 이렇게 주도적인 학습을 통해 스스로 연구하고 개발하여 완성도가 높은 3D 그래픽 영상을 만들어 내는 능력이 저의 강점이라고 생각합니다. 
"
(주)그린웹서비스,그래픽디자인·CG,"
""모션 그래픽 디자인 직무에 대한 열정"" 유튜브와 인스타그램 등 다양한 미디어 매체를 통해 영상 콘텐츠를 접하며, 모션 그래픽 디자인 분야에 흥미를 느끼게 되었습니다. 학부 시절, 높은 디자인 역량을 갖추기 위해 일러스트레이션, 모션 디자인 스튜디오, 3D 그래픽스 등 다양한 그래픽 및 영상 분야의 수업을 이수하였습니다. 저는 일러스트레이터, 포토샵, 애프터 이펙트와 Cinema 4D 등 다양한 그래픽 프로그램의 사용이 가능하며, 그린웹서비스의 직무가 제가 추구하는 방향과 맞는다고 생각하였습니다. 직무를 수행하며, 모션 그래픽 디자이너로서 성장하고 싶습니다. 

""모션 그래픽 실무 경력을 통한 높은 직무 역량"" 아트팀 인턴으로 근무하며, 광고 영상의 후반 2D 모션그래픽 및 자막 디자인 업무를 담당하였습니다. 애프터 이펙트를 사용하여 영상에 모션 그래픽 요소를 추가하여 완성된 영상으로 제작하였습니다. 또한, 포토샵과 일러스트레이터를 사용하여 영상의 그래픽 소스를 제작하기도 하였습니다. 타이포그래피에 대한 이해를 바탕으로, 가독성이 좋은 폰트를 사용하고 색상을 통일함으로써 높은 완성도의 영상을 제작하기 위해 노력하였습니다. 저는 이러한 모션 그래픽 실무 경력을 통해 높은 직무 역량을 가지고 있다고 생각합니다. 
"
(주)문화방송,그래픽디자인·CG,"
""모션 그래픽 디자인 직무에 대한 열정"" 평소 유튜브와 인스타그램 등 미디어 매체를 통해 다양한 영상 콘텐츠를 접하며, 모션 그래픽 분야에 흥미를 느끼게 되었습니다. 학부 시절, 높은 디자인 역량을 갖추기 위해 디자인 기초부터 타이포, 모션디자인스튜디오, 3D그래픽스 등 다양한 그래픽 및 영상 분야의 수업을 이수하였습니다. 저는 일러스트레이터, 포토샵, 애프터이펙트와 Cinema 4D 등 다양한 그래픽 프로그램의 사용이 가능하며, MBC의 모션 그래픽 디자인 직무가 제가 추구하는 방향과 맞다고 생각하였습니다. MBC에서 직무를 수행하며, 모션 디자이너로써 성장하고 싶습니다. 

""영상 디자인 실무 경력을 통한 높은 직무 역량"" 아트팀 인턴으로 근무하며, 광고 영상의 후반 2D 모션 그래픽 및 자막 디자인 업무를 수행하였습니다. 애프터 이펙트를 사용하여 영상에 모션 그래픽 요소를 추가하여 완성된 영상으로 제작하였습니다. 또한, 포토샵과 일러스트레이터를 사용하여 그래픽 디자인 소스를 제작하는 업무를 담당하기도 하였습니다. 타이포그래피에 대한 이해를 바탕으로, 가독성이 좋은 폰트를 사용하고 색상을 통일함으로써 감각적이고 완성도 높은 영상을 제작하기 위해 노력하였습니다. 저는 이러한 영상 및 모션 그래픽 실무 경력을 통해 높은 직무 역량을 가지고 있다고 생각합니다. MBC의 모션 디자인 직무 수행에 있어서도 디자인 역량을 발휘할 수 있을 것이라 생각합니다. 
"
(주)문화방송,디자인기타,"
""영상 디자인 직무에 대한 열정"" 평소 방송, 유튜브, 인스타그램 등 다양한 미디어 매체를 통해 영상 콘텐츠를 접하며, 영상 디자인 분야에 흥미를 느끼게 되었습니다. 학부 시절, 높은 디자인 역량을 갖추기 위해 타이포그래피, 모션 디자인 스튜디오, 3D 그래픽스 등 다양한 그래픽 및 영상 분야의 수업을 이수하였습니다. 저는 일러스트레이터, 포토샵, 애프터 이펙트와 Cinema 4D 등 다양한 그래픽 프로그램의 사용이 가능하며, MBC의 뉴스그래픽 디자인 직무가 제가 추구하는 방향과 맞는다고 생각하였습니다. MBC에서 직무를 수행하며, 영상 디자이너로서 성장하고 싶습니다. 

""영상 디자인 실무 경력을 통한 높은 직무 역량"" 아트팀 인턴으로 근무하며, 광고 영상의 후반 2D 모션 그래픽 및 자막 디자인 업무를 수행하였습니다. 애프터 이펙트를 사용하여 영상에 모션 그래픽 요소를 추가하여 완성된 영상으로 제작하였습니다. 또한, 포토샵과 일러스트레이터를 사용하여 그래픽 디자인 소스를 제작하는 업무를 담당하기도 하였습니다. 타이포그래피에 대한 이해를 바탕으로, 가독성이 좋은 폰트를 사용하고 색상을 통일함으로써 트렌디한 영상을 제작하기 위해 노력하였습니다. 저는 이러한 영상 및 모션 그래픽 실무 경력을 통해 높은 직무 역량을 가지고 있다고 생각합니다. MBC의 뉴스그래픽 직무 수행에 있어서도 디자인 역량을 발휘할 수 있을 것이라 생각합니다. 
"
스노우,그래픽디자인·CG,"
스노우 어플을 사용하며 어플의 다양한 그래픽 콘텐츠에 매력을 느끼게 되었습니다. 직무를 수행하며, 유쾌하고 완성도 높은 그래픽 콘텐츠를 제작하여 성과 창출에 기여하고 싶습니다. 저는 관련 실무 경력을 통해, 디자인 역량을 쌓기 위해 꾸준히 노력해왔습니다. 아트팀 인턴으로 근무하며, 광고 및 유튜브 영상의 후반 모션 그래픽 및 자막 디자인 업무를 수행하였습니다. 포토샵과 일러스트레이터를 사용하여 그래픽 디자인 소스를 제작하였으며, 애프터 이펙트를 사용하여 모션 그래픽 요소를 추가하여 완성된 영상으로 제작하였습니다. 타이포그래피에 대한 이해를 바탕으로, 가독성이 좋은 폰트를 사용하고 색상을 통일함으로써 완성도 높은 결과물을 제작하기 위해 노력하였습니다. 저는 이러한 그래픽 및 모션 디자인 실무 경력을 통해 높은 직무 역량을 가지고 있다고 생각합니다. 

평소 방송, 유튜브, 인스타그램 등 다양한 미디어 매체를 통해 그래픽 콘텐츠를 접하며, 그래픽 디자인 분야에 흥미를 느끼게 되었습니다. 학부 시절, 높은 디자인 역량을 갖추기 위해 일러스트레이션, 앱 디자인, 3D 그래픽스 등 다양한 그래픽 및 영상 분야의 수업을 이수하였습니다. 저는 일러스트레이터, 포토샵, 애프터 이펙트와 Cinema 4D 등 다양한 그래픽 프로그램의 사용이 가능하며, 스노우의 디자인 직무가 제가 추구하는 방향과 맞는다고 생각하였습니다. 스노우에서 직무를 수행하며, 그래픽 디자이너로서 성장하고 싶습니다. 
"
스노우,그래픽디자인·CG,"
""그래픽 직무에 대한 열정"" 스노우 어플을 사용하며 어플의 다양한 모션 그래픽 콘텐츠에 매력을 느끼게 되었습니다. 직무를 수행하며, 유쾌하고 완성도 높은 그래픽 콘텐츠를 제작하여 성과 창출에 기여하고 싶습니다. 저는 관련 실무 경력을 통해, 직무 역량을 쌓기 위해 꾸준히 노력해왔습니다. 아트팀 인턴으로 근무하며, 광고 및 유튜브 영상의 후반 모션 그래픽 및 자막 디자인 업무를 수행하였습니다. 애프터 이펙트를 사용하여 모션 그래픽 요소를 추가하여 완성된 영상으로 제작하였으며, 포토샵과 일러스트레이터를 사용하여 그래픽 디자인 소스를 제작하는 업무를 담당하기도 하였습니다. 타이포그래피에 대한 이해를 바탕으로, 가독성이 좋은 폰트를 사용하고 색상을 통일함으로써 완성도 높은 영상을 제작하기 위해 노력하였습니다. 저는 이러한 모션 그래픽 디자인 실무 경력을 통해 높은 직무 역량을 가지고 있다고 생각합니다. 

""2D와 3D를 아우르는 제너럴 그래픽 디자이너"" 2D뿐만 아니라 3D를 포함하는 넓은 영역의 그래픽 디자인 콘텐츠를 제작하여 개성을 표현하고 싶습니다. 2D와 3D를 아우르는 제너럴 모션그래픽 디자이너로서, 풀 모션 그래픽 콘텐츠를 제작하고 싶습니다. 저는 평소 일상에 대한 애정을 바탕으로, 일상의 소재를 관찰하는 습관을 지니고 있습니다. 아름다움은 거창한 것이 아닌 주변 일상적인 소재에 항상 존재한다고 생각합니다. 이러한 아름다움에 대한 철학을 바탕으로, 일상의 소재를 유쾌하고 창의적인 영상 콘텐츠로 표현하고 싶습니다. 스노우에서 직무를 수행하며, 창의적이고 새로운 그래픽 콘텐츠를 제작하여 성과 창출에 기여하고 싶습니다.  
"
CJ제일제당(주),제품·산업디자인,"
인턴으로 패키지 디자인 업무를 수행하며 패키지를 디자인하는 것에 자부심을 느꼈습니다. 신제품 패키지 디자인을 담당하여, 많은 커뮤니케이션을 거쳐 새로운 용기에 맞는 그래픽을 제작하는 업무를 수행하였습니다. 많은 시안을 제작한 후 최종 디자인을 매장에서 보았을 때의 성취감은 이루 말할 수 없었습니다. 첫인상을 담당하는 패키지를 디자인하는 것에 자부심을 느끼며 중요성에 맞는 책임감을 느껴야 할 직무라고 생각하게 되었습니다.  

CJ제일제당의 패키지 디자인 인턴에서 시작하여 패키징 분야의 인정받는 CJ제일제당의 디자이너로 입사하고 싶습니다. 입사 후에도 디자인 교육과 세미나에 참여하며 역량을 강화하고, 식품 관련 박람회에 참여하여 자료를 수집 및 공유하며 포장산업의 트렌드를 분석하여 포장의 차별화를 만드는데 이바지하겠습니다. 또한, 국내 외 디자인 어워드에서 수상하여 CJ제일제당의 포장 경쟁력을 더욱 강화하고 널리 알리는데 기여하고 함께 성장하고 싶습니다.   

CJ제일제당의 패키지 디자인 직무를 수행하기 위해서는 트렌드 리딩, 원활한 커뮤니케이션, 패키지 지기 구조에 대한 이해가 필수 역량이라고 생각합니다. 첫 번째, 트렌드를 누구보다 빠르게 읽고 적용할 수 있어야 합니다. 학부 시절부터 다양한 분야의 박람회를 자주 참여하며 트렌드를 파악하고 부스에서 판매하는 아르바이트를 통해 소비자들과 소통하며 니즈를 읽기 위해 노력하였습니다.  두 번째, 열린 마음으로 협력하는 개방성을 가지고 원활한 커뮤니케이션을 할 수 있어야 합니다. 디자인 업무는 타부서, 업체와의 협업이 절대적으로 필요한 업무입니다. 인턴으로 근무하며 협력업체와 콘셉트를 상의하고 피드백을 전달하는 데 필요한 빠르고 정확한 커뮤니케이션을 통해 모든 일정에 맞춰 디자인을 제작할 수 있었습니다.   세 번째, 지기 구조와 용기 대한 이해가 필수 역량이라고 생각합니다. 패키지는 평면이 아닌 입체적으로 보았을 때 소비자들에게 어떻게 보이는지가 중요합니다. 용기와 패키지의 스타일링과 안전성을 함께 고려하여야 한다고 생각합니다. 저는 3d모델링, 실물 목업을 통한 공간 비율, 마감, 지기 구조에 대한 이해가 되어있습니다. 또한, 포토샵, 일러스트, 인디자인 외에도 라이노, 키샷, 캐드 툴을 능숙하게 다룰 수 있어 그래픽 외의 3D 모델링 업무를 수행할 수 있습니다. 

제가 가장 선호하는 제품은 ‘OOO OOOO’입니다.프리미엄 이미지를 가진 패키지가 강점이라고 생각합니다. 평소 외부에서 자주 먹게 되는데 젤리는 불량 식품이나 아이들이 먹는 식품이라는 이미지가 강했습니다. 그래서 외부에서 젤리를 먹게 될 때는 민망한 기분이 들었던 경험이 있었습니다. 하지만 ‘OOO OOOO’는 원색을 사용하지 않고 깔끔한 타이포와 과일을 메인으로 강조한 패키지가 아이들이 먹는 간식이 아닌 고급스러운 과일 식품을 연상시킵니다. 그래서 어른들을 위한 디저트 식품이란 강점을 가지며 소비자를 향한 패키징의 배려라고 느꼈습니다. 내부가 지퍼백 포장으로 보완하면 좋을 것 같습니다. 많은 사람이 젤리를 여러 번 나눠 먹기 때문이기도 하고, 구미젤리가 타사보다 과일 향이 강한 편인 것 같아 개봉한 채로 보관하게 되면 향이 강하게 났습니다. 그래서 입구를 접어서 보관해야 했는데, 내부가 지퍼백 형태로 밀봉할 수 있게 보완하면 좋을 것 같습니다. 
"
대림통상(주),그래픽디자인·CG,"
학부 시절, 시장에서 고객과 직접 만나는 경험이 필요하다고 판단하여 인테리어 매장에서 디자인과 판매 아르바이트를 한 경험이 있습니다. 이 경험을 통해 사람들의 생활 가까이에 있는 제품을 디자인하는 일에 관심을 가지게 되었습니다. 이러한 관심을 기반으로 실무 디자인 역량을 쌓고자 중소기업의 라이프 스타일 제품을 리뉴얼 하는 작업을 경험하였습니다. 이러한 경험을 바탕으로 대림통상에서 소비자의 라이프스타일을 선도하는 디자인 경쟁력을 만들어내겠습니다. 

디자인 직무를 수행하기 위한 트렌드 리딩 역량, 디자인 프로세스에 대한 이해를 갖추었습니다. 첫 번째, 라이프스타일 제품은 트렌드를 빠르게 읽고 적용할 수 있어야 합니다. 시장과 트렌드를 파악하여 인사이트를 도출하는 역량을 인턴 경험을 통해 발전시켰습니다. OO기업의 인턴으로 근무하며 시장 조사를 기반으로 디자인을 수행하며 디자인 실무 역량을 함양하였습니다. 업계의 빠른 트렌드를 조사하고 이를 반영한 신제품 디자인 업무를 수행하며 트렌드를 비주얼적으로 효과적이게 표현할 수 있는 역량을 함양하였습니다.  두 번째, 학부에서 디자인을 전공하며 기획부터 모델링, 목업을 통해 디자인 툴을 포함한 디자인 프로세스를 익혔습니다. 전문역량을 강화하고자 포토샵, 일러스트, 인디자인 외에도 라이노, 키샷 툴을 능숙하게 다룰 수 있어 그래픽과 3D 모델링 업무를 동시에 수행할 수 있습니다. 

소비자의 라이프스타일을 고려한 실용적인 제품, 인테리어 트렌드를 놓치지 않는 디자인을 통해 대림통상의 경쟁력을 만들겠습니다. 대림통상의 주된 생산 제품이 건자재 및 가정용품인 만큼 스타일링과 안전성을 함께 고려하여야 한다고 생각하기 때문입니다. 입사 후에도 안전성과 스타일링 두 가지를 모두 고려한 디자인 솔루션을 통해 대림통상의 디자인 경쟁력을 만들어 내겠습니다. 또한, 상품 기획 단계부터 시장의 변화와 고객의 니즈를 철저히 수집하고 분석해 디자인을 개발함으로써 고객을 위한 가치창출에 매진하겠습니다. 
"
(주)클리오,제품·산업디자인,"
화장품과 뷰티 산업에 대한 관심이 많아, 코스메틱 분야의 디자이너가 되는 것이 목표였습니다. 디자인을 전공하여 디자인 지식과 감각을 키우며, 휴학 기간, 아르바이트를 통해 디자인 출시를 하여 실무경험을 쌓았습니다. 졸업 후에는 화장품 기업에서 인턴 경험을 쌓으며 뷰티 업계에서 디자인 역량과 경험을 키우고자 노력하였습니다. 평소 관심이 많은 코스메틱 분야의 디자인 업무라서 즐겁고 열정적으로 임할 수 있었습니다.   디자인 업무를 수행하면서 고객과의 커뮤니케이션으로서 디자인하는 것에 책임감을 느꼈습니다. 매대 위에 수많은 제품 속에서 손길을 끌게 할 수 있는, 첫인상인 디자인을 담당하는 것에 자부심을 느끼며 그 중요성에 맞는 책임감을 느껴야 할 직무라고 생각하였습니다. 이러한 역량과 경험을 바탕으로 클리오의 디자인 인턴으로 적극적이고 성실한 태도로 임하고 싶어 지원하였습니다. 

첫 번째, 효과적으로 고객에게 어필할 수 있는 디자인을 위해서 트렌드를 빠르게 읽고 적용할 수 있어야 합니다. 시장과 트렌드를 파악하여 인사이트를 도출하는 역량을 인턴 경험을 통해 발전시켰습니다. 화장품 기업의 인턴으로 근무하며 패키지 디자인을 수행하며 디자인 실무역량을 함양하였습니다. 업계의 빠른 트렌드 변화를 조사하고 이를 반영한 패키지 디자인 업무를 수행하며 실무 역량을 함양하였습니다. 두 번째, 학부에서 디자인을 전공하며 기획부터 디자인 툴을 포함한 디자인 프로세스를 익혔습니다. 전문역량을 강화하고자 포토샵, 일러스트, 인디자인 외에도 라이노, 키샷 툴을 능숙하게 다룰 수 있어 다양한 디자인 업무를 동시에 수행할 수 있습니다. 이러한 역량은 라이프스타일 트렌드를 리드하는 클리오의 디자인 차별화에 이바지할 수 있다고 생각하여 지원했습니다. 

입사 후, 소비자의 라이프스타일을 고려한 실용적인 제품, 트렌드를 놓치지 않는 세련된 디자인을 통해 디자인 경쟁력을 만들겠습니다.  인턴을 하며 코스메틱 제품을 리뉴얼하는 업무를 담당한 경험이 있습니다. 기존 제품과 차별화된 경쟁력을 위해 심리적인 면을 고려해 고급스러운 이미지를 전달하는 컬러를 사용하고, 제품 외관에 전체적으로 곡선을 적용하여 사용성을 높였습니다.  입사 후에도 안전성과 스타일링 두 가지를 모두 고려한 디자인 솔루션을 통해 디자인 경쟁력을 만들어 내겠습니다. 또한, 상품 기획 단계부터 시장의 변화와 고객의 니즈를 철저히 수집하고 분석해 디자인을 개발함으로써 고객을 위한 가치창출에 매진하겠습니다. 
"
